scenario,request_source,station_id,station_name,latitude,longitude,seeds,requests_mean,failures_avoided_mean,failures_avoided_median,failures_avoided_p10,failures_avoided_p90,worsening_seeds,worsening_probability,improving_seeds,improving_probability,tied_seeds,p0_service_rate_mean,p2r_service_rate_mean,observed_baseline_failures_avoided,observed_baseline_worsened,new_worsening_under_latent,stability_class
low,observed,3643,더시그넘하우스 앞,37.47267914,127.10375977,50,92,0.06,0.0,0,0,3,0.06,5,0.1,42,0.933044,0.933696,0,false,true,intermittent_worsened
low,observed,3644,상록수아파트,37.48276138,127.08042145,50,68,12.54,12.5,7,16,0,0.0,50,1.0,0,0.288824,0.473235,29,false,false,never_worsened
low,observed,3646,선정릉역 4번 출구,37.5097847,127.04277039,50,75,14.72,14.0,11,20,0,0.0,50,1.0,0,0.5736,0.769867,23,false,false,never_worsened
low,observed,3647,구룡역 1번 출구,37.48642349,127.05931854,50,100,6.66,7.0,2,10,1,0.02,49,0.98,0,0.8474,0.914,10,false,true,intermittent_worsened
low,observed,3648,구룡역 4번 출구,37.48670578,127.0605011,50,24,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3649,구룡역 5번 출구,37.48607635,127.05921936,50,83,1.72,2.0,-2,4,9,0.18,35,0.7,6,0.900241,0.920964,2,false,true,intermittent_worsened
low,observed,3651,개포동역 4번출구,37.48929596,127.06616974,50,149,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,4902,구역삼세무서 교차로,37.49524307,127.03937531,50,103,-2.94,-3.0,-6,0,43,0.86,3,0.06,4,0.972233,0.943689,0,false,true,persistent_worsened
low,observed,4903,신사스퀘어,37.51916885,127.0189743,50,39,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,4905,강남경찰서,37.50971985,127.06679535,50,219,5.72,6.0,4,8,0,0.0,50,1.0,0,0.946667,0.972785,7,false,false,never_worsened
low,observed,4906,섬유센터 앞,37.50767136,127.06017303,50,218,22.18,22.0,20,24,0,0.0,50,1.0,0,0.887248,0.988991,20,false,false,never_worsened
low,observed,4907,극동스포츠 앞,37.5257225,127.02588654,50,82,3.68,3.0,0,7,0,0.0,39,0.78,11,0.827073,0.871951,6,false,false,never_worsened
low,observed,4908,SB타워 앞,37.52210999,127.03646088,50,39,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,4909,노보텔 앰배서더 앞,37.50570297,127.02919769,50,49,2.56,2.0,0,6,0,0.0,37,0.74,13,0.388979,0.441224,10,false,false,never_worsened
low,observed,4913,레베쌍트 빌딩 앞,37.51292038,127.056427,50,46,0.02,0.0,0,0,0,0.0,1,0.02,49,0.99913,0.999565,0,false,false,never_worsened
low,observed,4914,도심공항타워 앞,37.50999069,127.05847168,50,140,24.12,25.0,21,27,0,0.0,50,1.0,0,0.811714,0.984,24,false,false,never_worsened
